USE_YM,USE_HM,FDRCT_VLD_KWH
20220806,2400,5242292.943
20220807,0100,3775810.424
20220807,0200,5200759.103
20220807,0300,4180931.454
20220807,0400,3101923.037
20220807,0500,3045861.479
20220807,0600,3212525.08
20220807,0700,3301907.655
20220807,0800,4414447.4452
20220807,0900,5088241.394
20220807,1000,5301313.337
20220807,1100,5567943.4332
20220807,1200,5878819.058
20220807,1300,6017955.6175999995
20220807,1400,6218732.3136
20220807,1500,6132913.8296
20220807,1600,6029409.57
20220807,1700,5181533.477
20220807,1800,5321704.288
20220807,1900,6131792.789
20220807,2000,5296223.372
20220807,2100,5197982.137
20220807,2200,5793394.169
20220807,2300,5289852.737
20220807,2400,4890268.971
20220808,0100,4836211.525
20220808,0200,4655286.257
20220808,0300,4310993.931
20220808,0400,4161192.725
20220808,0500,4513417.17
20220808,0600,5223348.905
20220808,0700,5124690.341
20220808,0800,5884053.11
20220808,0900,6328279.961
20220808,1000,7723281.141
20220808,1100,7513075.279
20220808,1200,8311324.046
20220808,1300,8016961.342
20220808,1400,7850633.368
20220808,1500,7757896.871
20220808,1600,8695465.999
20220808,1700,6867281.762
20220808,1800,7878902.228
20220808,1900,6429652.848
20220808,2000,7020221.285
20220808,2100,6601026.508
20220808,2200,5424165.271
20220808,2300,5458359.973
20220808,2400,4665980.186
20220809,0100,4850073.108
20220809,0200,3755177.058
20220809,0300,4473805.036
20220809,0400,4180215.843
20220809,0500,4420845.672
20220809,0600,4340257.623
20220809,0700,4047000.986
20220809,0800,5734199.674
20220809,0900,6551543.071
20220809,1000,7290443.711
20220809,1100,7027540.575
20220809,1200,6967745.921
20220809,1300,7709698.547
20220809,1400,7597511.928
20220809,1500,6767790.699
20220809,1600,7586227.344
20220809,1700,6739403.907
20220809,1800,7408648.096
20220809,1900,7044449.028
20220809,2000,6702320.683
20220809,2100,6210630.983
20220809,2200,6661653.561
20220809,2300,5241648.61
20220809,2400,5138139.973
20220810,0100,4496913.163
20220810,0200,4584475.426
20220810,0300,5214839.05
20220810,0400,3107796.175
20220810,0500,3351832.7060000002
20220810,0600,4179871.956
20220810,0700,3877698.865
20220810,0800,4421263.0556
20220810,0900,6915498.6048
20220810,1000,6216341.4004
20220810,1100,6336805.0358
20220810,1200,7293949.1294
20220810,1300,7523084.0986
20220810,1400,7522633.1172
20220810,1500,6596625.5728
20220810,1600,7434722.109
20220810,1700,6371538.165
20220810,1800,6871413.756
20220810,1900,6827804.455
20220810,2000,6667694.684
20220810,2100,6016028.546
20220810,2200,5064265.996
20220810,2300,5322627.779
20220810,2400,4011724.927
20220811,0100,4712389.73
20220811,0200,4443471.616
20220811,0300,4027824.185
20220811,0400,3815081.582
20220811,0500,5064741.987
20220811,0600,4042819.106
20220811,0700,4782251.261
20220811,0800,4586686.523
20220811,0900,7037775.1184
20220811,1000,6982360.573
20220811,1100,6381386.198799999
20220811,1200,7530619.5438
20220811,1300,8101402.155
20220811,1400,7226309.5258
20220811,1500,6503091.6258000005
20220811,1600,8059477.8618
20220811,1700,6305654.4082
20220811,1800,7030416.481
20220811,1900,6681755.421
20220811,2000,6308693.112
20220811,2100,6169921.866
20220811,2200,5582968.013
20220811,2300,5116859.897
20220811,2400,4077683.519
20220812,0100,3749674.515
20220812,0200,3562772.344
20220812,0300,3132333.295
20220812,0400,2945524.798
20220812,0500,4089726.313
20220812,0600,4811150.943
20220812,0700,4584506.9162
20220812,0800,5284926.197
20220812,0900,6490670.2184
20220812,1000,7105841.732
20220812,1100,7329878.2698
20220812,1200,7327477.0618
20220812,1300,7400492.3993999995
20220812,1400,7495004.468
20220812,1500,7530386.6954
20220812,1600,7615818.5848
20220812,1700,8362088.364
20220812,1800,7383215.7
20220812,1900,6072551.294
20220812,2000,7411744.169
20220812,2100,6251894.574
20220812,2200,5034132.009
20220812,2300,5469208.738
20220812,2400,4224080.71
20220813,0100,3747516.557
